label	readable
Case=Voc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Féminin Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Féminin Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Féminin Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Féminin Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Féminin Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Féminin Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Féminin Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Féminin Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Féminin Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Féminin Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Féminin Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Féminin Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=Fem|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Féminin Participe Futur Actif - VER
Case=Nom|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Voc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Masculin Féminin Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Masculin Féminin Participe Futur Actif - VER
Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Masculin Participe Futur Actif - VER
Case=Voc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Masculin Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Masculin Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Masculin Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Masculin Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Masculin Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Masculin Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Masculin Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Masculin Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Masculin Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Masculin Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Masculin Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Masculin Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Masculin Participe Futur Actif - VER
Case=Nom|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Voc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Masculin Neutre Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=MascNeut|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Masculin Neutre Participe Futur Actif - VER
Case=Nom|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Nominatif Singulier Neutre Participe Futur Actif - VER
Case=Voc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Vocatif Singulier Neutre Participe Futur Actif - VER
Case=Acc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Accusatif Singulier Neutre Participe Futur Actif - VER
Case=Gen|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Génitif Singulier Neutre Participe Futur Actif - VER
Case=Dat|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Datif Singulier Neutre Participe Futur Actif - VER
Case=Abl|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Ablatif Singulier Neutre Participe Futur Actif - VER
Case=Loc|Numb=Sing|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Locatif Singulier Neutre Participe Futur Actif - VER
Case=Nom|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Nominatif Pluriel Neutre Participe Futur Actif - VER
Case=Voc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Vocatif Pluriel Neutre Participe Futur Actif - VER
Case=Acc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Accusatif Pluriel Neutre Participe Futur Actif - VER
Case=Gen|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Génitif Pluriel Neutre Participe Futur Actif - VER
Case=Dat|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Datif Pluriel Neutre Participe Futur Actif - VER
Case=Abl|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Ablatif Pluriel Neutre Participe Futur Actif - VER
Case=Loc|Numb=Plur|Gend=Neut|Mood=Par|Tense=Fut|Voice=Act	Locatif Pluriel Neutre Participe Futur Actif - VER
Numb=Sing|Mood=Imp|Tense=Pres|Voice=Act|Person=2	Singulier Impératif Présent Actif 2 - VER
Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2	Pluriel Impératif Présent Actif 2 - VER
Numb=Sing|Mood=Imp|Tense=Pres|Voice=Pass|Person=2	Singulier Impératif Présent Passif 2 - VER
Numb=Plur|Mood=Imp|Tense=Pres|Voice=Pass|Person=2	Pluriel Impératif Présent Passif 2 - VER
Numb=Sing|Mood=Imp|Tense=Pres|Voice=Dep|Person=2	Singulier Impératif Présent Déponent 2 - VER
Numb=Plur|Mood=Imp|Tense=Pres|Voice=Dep|Person=2	Pluriel Impératif Présent Déponent 2 - VER
Numb=Sing|Mood=Imp|Tense=Pres|Voice=SemDep|Person=2	Singulier Impératif Présent SemiDéponent 2 - VER
Numb=Plur|Mood=Imp|Tense=Pres|Voice=SemDep|Person=2	Pluriel Impératif Présent SemiDéponent 2 - VER
Numb=Sing|Mood=Imp|Tense=Fut|Voice=Act|Person=2	Singulier Impératif Futur Actif 2 - VER
Numb=Plur|Mood=Imp|Tense=Fut|Voice=Act|Person=2	Pluriel Impératif Futur Actif 2 - VER
Numb=Sing|Mood=Imp|Tense=Fut|Voice=Pass|Person=2	Singulier Impératif Futur Passif 2 - VER
Numb=Plur|Mood=Imp|Tense=Fut|Voice=Pass|Person=2	Pluriel Impératif Futur Passif 2 - VER
Numb=Sing|Mood=Imp|Tense=Fut|Voice=Dep|Person=2	Singulier Impératif Futur Déponent 2 - VER
Numb=Plur|Mood=Imp|Tense=Fut|Voice=Dep|Person=2	Pluriel Impératif Futur Déponent 2 - VER
Numb=Sing|Mood=Imp|Tense=Fut|Voice=SemDep|Person=2	Singulier Impératif Futur SemiDéponent 2 - VER
Numb=Plur|Mood=Imp|Tense=Fut|Voice=SemDep|Person=2	Pluriel Impératif Futur SemiDéponent 2 - VER
Case=Acc|Numb=Sing|Mood=Ger|Voice=Act	Accusatif Singulier Gérondif Actif - VER
Case=Abl|Numb=Sing|Mood=Ger|Voice=Act	Ablatif Singulier Gérondif _ - VER
Case=Dat|Numb=Sing|Mood=Ger|Voice=Act	Datif Singulier Gérondif Déponent - VER
Case=Gen|Numb=Sing|Mood=Ger|Voice=Act	Génitif Singulier Gérondif SemiDéponent - VER
Case=Acc|Numb=Sing|Mood=Ger|Voice=Dep	Accusatif Singulier Gérondif Actif - VER
Case=Abl|Numb=Sing|Mood=Ger|Voice=Dep	Ablatif Singulier Gérondif _ - VER
Case=Dat|Numb=Sing|Mood=Ger|Voice=Dep	Datif Singulier Gérondif Déponent - VER
Case=Gen|Numb=Sing|Mood=Ger|Voice=Dep	Génitif Singulier Gérondif SemiDéponent - VER
Case=Acc|Numb=Sing|Mood=Ger|Voice=SemDep	Accusatif Singulier Gérondif Actif - VER
Case=Abl|Numb=Sing|Mood=Ger|Voice=SemDep	Ablatif Singulier Gérondif _ - VER
Case=Dat|Numb=Sing|Mood=Ger|Voice=SemDep	Datif Singulier Gérondif Déponent - VER
Case=Gen|Numb=Sing|Mood=Ger|Voice=SemDep	Génitif Singulier Gérondif SemiDéponent - VER
Case=Nom|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Nominatif Singulier Commun Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Vocatif Singulier Commun Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Accusatif Singulier Commun Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Génitif Singulier Commun Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Datif Singulier Commun Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=Com|Mood=Adj|Voice=Pass	Ablatif Singulier Commun Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Nominatif Pluriel Commun Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Vocatif Pluriel Commun Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Accusatif Pluriel Commun Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Génitif Pluriel Commun Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Datif Pluriel Commun Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=Com|Mood=Adj|Voice=Pass	Ablatif Pluriel Commun Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Nominatif Singulier Féminin Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Vocatif Singulier Féminin Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Accusatif Singulier Féminin Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Génitif Singulier Féminin Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Datif Singulier Féminin Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Pass	Ablatif Singulier Féminin Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Nominatif Pluriel Féminin Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Vocatif Pluriel Féminin Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Accusatif Pluriel Féminin Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Génitif Pluriel Féminin Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Datif Pluriel Féminin Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Pass	Ablatif Pluriel Féminin Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Nominatif Singulier Masculin Féminin Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Vocatif Singulier Masculin Féminin Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Accusatif Singulier Masculin Féminin Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Génitif Singulier Masculin Féminin Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Datif Singulier Masculin Féminin Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Pass	Ablatif Singulier Masculin Féminin Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Nominatif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Vocatif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Accusatif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Génitif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Datif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Pass	Ablatif Pluriel Masculin Féminin Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Nominatif Singulier Masculin Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Vocatif Singulier Masculin Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Accusatif Singulier Masculin Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Génitif Singulier Masculin Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Datif Singulier Masculin Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Pass	Ablatif Singulier Masculin Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Nominatif Pluriel Masculin Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Vocatif Pluriel Masculin Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Accusatif Pluriel Masculin Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Génitif Pluriel Masculin Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Datif Pluriel Masculin Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=Masc|Mood=Adj|Voice=Pass	Ablatif Pluriel Masculin Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Nominatif Singulier Masculin Neutre Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Vocatif Singulier Masculin Neutre Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Accusatif Singulier Masculin Neutre Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Génitif Singulier Masculin Neutre Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Datif Singulier Masculin Neutre Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass	Ablatif Singulier Masculin Neutre Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Nominatif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Vocatif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Accusatif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Génitif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Datif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=MascNeut|Mood=Adj|Voice=Pass	Ablatif Pluriel Masculin Neutre Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Nominatif Singulier Neutre Adjectif Passif - VER
Case=Voc|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Vocatif Singulier Neutre Adjectif Passif - VER
Case=Acc|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Accusatif Singulier Neutre Adjectif Passif - VER
Case=Gen|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Génitif Singulier Neutre Adjectif Passif - VER
Case=Dat|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Datif Singulier Neutre Adjectif Passif - VER
Case=Abl|Numb=Sing|Gend=Neut|Mood=Adj|Voice=Pass	Ablatif Singulier Neutre Adjectif Passif - VER
Case=Nom|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Nominatif Pluriel Neutre Adjectif Passif - VER
Case=Voc|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Vocatif Pluriel Neutre Adjectif Passif - VER
Case=Acc|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Accusatif Pluriel Neutre Adjectif Passif - VER
Case=Gen|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Génitif Pluriel Neutre Adjectif Passif - VER
Case=Dat|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Datif Pluriel Neutre Adjectif Passif - VER
Case=Abl|Numb=Plur|Gend=Neut|Mood=Adj|Voice=Pass	Ablatif Pluriel Neutre Adjectif Passif - VER
Case=Nom|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Nominatif Singulier Commun Adjectif Déponent - VER
Case=Voc|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Vocatif Singulier Commun Adjectif Déponent - VER
Case=Acc|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Accusatif Singulier Commun Adjectif Déponent - VER
Case=Gen|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Génitif Singulier Commun Adjectif Déponent - VER
Case=Dat|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Datif Singulier Commun Adjectif Déponent - VER
Case=Abl|Numb=Sing|Gend=Com|Mood=Adj|Voice=Dep	Ablatif Singulier Commun Adjectif Déponent - VER
Case=Nom|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Nominatif Pluriel Commun Adjectif Déponent - VER
Case=Voc|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Vocatif Pluriel Commun Adjectif Déponent - VER
Case=Acc|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Accusatif Pluriel Commun Adjectif Déponent - VER
Case=Gen|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Génitif Pluriel Commun Adjectif Déponent - VER
Case=Dat|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Datif Pluriel Commun Adjectif Déponent - VER
Case=Abl|Numb=Plur|Gend=Com|Mood=Adj|Voice=Dep	Ablatif Pluriel Commun Adjectif Déponent - VER
Case=Nom|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Nominatif Singulier Féminin Adjectif Déponent - VER
Case=Voc|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Vocatif Singulier Féminin Adjectif Déponent - VER
Case=Acc|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Accusatif Singulier Féminin Adjectif Déponent - VER
Case=Gen|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Génitif Singulier Féminin Adjectif Déponent - VER
Case=Dat|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Datif Singulier Féminin Adjectif Déponent - VER
Case=Abl|Numb=Sing|Gend=Fem|Mood=Adj|Voice=Dep	Ablatif Singulier Féminin Adjectif Déponent - VER
Case=Nom|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Nominatif Pluriel Féminin Adjectif Déponent - VER
Case=Voc|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Vocatif Pluriel Féminin Adjectif Déponent - VER
Case=Acc|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Accusatif Pluriel Féminin Adjectif Déponent - VER
Case=Gen|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Génitif Pluriel Féminin Adjectif Déponent - VER
Case=Dat|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Datif Pluriel Féminin Adjectif Déponent - VER
Case=Abl|Numb=Plur|Gend=Fem|Mood=Adj|Voice=Dep	Ablatif Pluriel Féminin Adjectif Déponent - VER
Case=Nom|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Nominatif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Voc|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Vocatif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Acc|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Accusatif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Gen|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Génitif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Dat|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Datif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Abl|Numb=Sing|Gend=MascFem|Mood=Adj|Voice=Dep	Ablatif Singulier Masculin Féminin Adjectif Déponent - VER
Case=Nom|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Nominatif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Voc|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Vocatif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Acc|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Accusatif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Gen|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Génitif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Dat|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Datif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Abl|Numb=Plur|Gend=MascFem|Mood=Adj|Voice=Dep	Ablatif Pluriel Masculin Féminin Adjectif Déponent - VER
Case=Nom|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Dep	Nominatif Singulier Masculin Adjectif Déponent - VER
Case=Voc|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Dep	Vocatif Singulier Masculin Adjectif Déponent - VER
Case=Acc|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Dep	Accusatif Singulier Masculin Adjectif Déponent - VER
Case=Gen|Numb=Sing|Gend=Masc|Mood=Adj|Voice=Dep	Génitif Singulier Masculin Adjectif Déponent - VER
